,artist,album,albumcount,year
147464,Judas Priest,Stained Class,3,1978
151501,Kathy Dalton,Boogie Bands & One Night Stands,3,1974
151739,Kay-Gees,Keep On Bumpin' & Masterplan,1,1974
151772,Kayak,Royal Bed Bouncer,2,1975
152048,Keef Hartley Band,The Time Is Near,3,1970
152230,Keith Jarrett,Arbour Zena,3,1974
152233,Keith Jarrett,Byablue,6,1977
152241,Keith Jarrett,In The Light,1,1974
152249,Keith Jarrett,My Song,2,1978
152255,Keith Jarrett,Mysteries,2,1976
152259,Keith Jarrett,Shades,4,1976
153156,Ken Hensley,Proud Words On A Dusty Shelf,7,1973
155976,Kiki Dee,Kiki Dee,5,1974
156578,King Curtis,Get Ready,2,1970
157770,Kool & The Gang,Good Times,7,1972
157795,Kool & The Gang,Kool Jazz,4,1973
157824,Kool & The Gang,Live At P.J.'s,7,1971
157913,Kool & The Gang,The Force,7,1977
158633,Kris Kristofferson,Easter Island,7,1978
158687,Kris Kristofferson,Surreal Thing,2,1976
160953,Lamont Dozier,Black Bach,2,1974
162215,LeBlanc & Carr,Midnight Light,7,1977
162987,Lee Michaels,Nice Day For Something,5,1973
163042,Lee Ritenour,Captain Fingers,5,1977
163088,Lee Ritenour,The Captains Journey,7,1978
163570,Leo Sayer,Another Year,7,1975
163658,Leon Redbone,Champagne Charlie,4,1978
163780,Leon Russell,Make Love To The Music,5,1977
164199,Les McCann,Another Beginning,4,1974
164216,Les McCann,Invitation To Openness,6,1971
164224,Les McCann,Talk To The People,6,1972
164972,Lighthouse,Thoughts Of Movin' On,7,1971
167048,Link Wray & His Ray Men,Link Wray,4,1971
168543,Liz Damon's Orient Express,Liz Damon's Orient Express,2,1970
168641,Liza Minnelli,Live At The Winter Garden,4,1974
168871,Lobo,A Cowboy Afraid Of Horses,7,1975
168909,Lobo,Just A Singer,4,1975
169539,Lonnie Liston Smith,Dreams Of Tomorrow,2,1974
169893,Loretta Lynn,Love Is The Foundation,2,1973
171124,Lou Donaldson,Sassy Soul Strut,4,1973
171136,Lou Donaldson,Sweet Lou,3,1974
171412,Lou Reed,The Bells,4,1979
171518,Loudon Wainwright III,Unrequited,5,1975
171639,Love,False Start,3,1970
171796,Love Unlimited,He's All I've Got,3,1977
174082,Lynn Anderson,How Can I Unlove You,5,1971
175029,MC5,Back In The USA,7,1970
175335,Mac Davis,Song Painter,4,1971
176575,Mahavishnu Orchestra John McLaughlin,Inner Worlds,7,1976
176620,Mahogany Rush,Mahogany Rush Iv,3,1976
176709,Major Harris,Jealousy,6,1976
176910,Mama Cass,Dave Mason & Cass Elliot,7,1971
176924,Mama Cass,Mama's Big Ones,1,1973
177284,Mandrill,New Worlds,5,1978
177293,Mandrill,The Best Of Mandrill,2,1975
177450,Manfred Mann,The Good Earth,3,1974
177484,Manfred Mann's Earth Band,Watch,6,1978
178546,Margie Joseph,Sweet Surrender,3,1974
179757,Mark Lindsay,You've Got A Friend,2,1971
179990,Marlena Shaw,Acting Up,4,1978
180010,Marlena Shaw,"Who Is This Bitch, Anyway?",5,1974
180309,Martha & The Vandellas,Black Magic,7,1972
180697,Marty Robbins,Today,6,1971
181065,Marvin Gaye,That's The Way Love Is,3,1970
183115,Mavis Staples,Only For The Lonely,4,1970
183436,Maynard Ferguson,Hot,3,1979
183584,McCoy Tyner,Atlantis,5,1974
183597,McCoy Tyner,Focal Point,3,1976
183608,McCoy Tyner,Supertrios,5,1977
183620,McCoy Tyner,The Greeting,3,1978
183626,McCoy Tyner,Trident,2,1975
184669,Melba Moore,Peach Melba,4,1975
184880,Melissa Manchester,Bright Eyes,5,1974
185633,Merle Haggard,If We Make It Through December,3,1974
185666,Merle Haggard,My Farewell To Elvis,5,1977
186219,Meters,Fire On The Bayou,3,1975
187155,Michael Henderson,Solid,7,1976
